"filename", "language", "Markdown", "HTML", "Java", "CSS", "JavaScript", "XML", "Log", "comment", "blank", "total"
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\index-files\index-1.html", "HTML", 0, 100, 0, 0, 0, 0, 0, 37, 1, 138
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\index-files\index-10.html", "HTML", 0, 110, 0, 0, 0, 0, 0, 37, 1, 148
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\index-files\index-11.html", "HTML", 0, 102, 0, 0, 0, 0, 0, 37, 1, 140
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\index-files\index-12.html", "HTML", 0, 98, 0, 0, 0, 0, 0, 37, 1, 136
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\index-files\index-13.html", "HTML", 0, 94, 0, 0, 0, 0, 0, 37, 1, 132
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\index-files\index-14.html", "HTML", 0, 117, 0, 0, 0, 0, 0, 37, 1, 155
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\index-files\index-2.html", "HTML", 0, 94, 0, 0, 0, 0, 0, 37, 1, 132
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\index-files\index-3.html", "HTML", 0, 106, 0, 0, 0, 0, 0, 37, 1, 144
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\index-files\index-4.html", "HTML", 0, 92, 0, 0, 0, 0, 0, 37, 1, 130
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\index-files\index-5.html", "HTML", 0, 108, 0, 0, 0, 0, 0, 37, 1, 146
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\index-files\index-6.html", "HTML", 0, 128, 0, 0, 0, 0, 0, 37, 1, 166
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\index-files\index-7.html", "HTML", 0, 92, 0, 0, 0, 0, 0, 37, 1, 130
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\index-files\index-8.html", "HTML", 0, 98, 0, 0, 0, 0, 0, 37, 1, 136
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\index-files\index-9.html", "HTML", 0, 94, 0, 0, 0, 0, 0, 37, 1, 132
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\index.html", "HTML", 0, 73, 0, 0, 0, 0, 0, 2, 1, 76
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\overview-frame.html", "HTML", 0, 20, 0, 0, 0, 0, 0, 2, 1, 23
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\overview-summary.html", "HTML", 0, 103, 0, 0, 0, 0, 0, 36, 1, 140
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\overview-tree.html", "HTML", 0, 118, 0, 0, 0, 0, 0, 36, 1, 155
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\propiedades\AlmacenPropiedades.html", "HTML", 0, 590, 0, 0, 0, 0, 0, 80, 1, 671
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\propiedades\CriaTipo.html", "HTML", 0, 339, 0, 0, 0, 0, 0, 55, 1, 395
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\propiedades\PecesDatos.html", "HTML", 0, 430, 0, 0, 0, 0, 0, 59, 1, 490
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\propiedades\PecesProps.html", "HTML", 0, 367, 0, 0, 0, 0, 0, 58, 1, 426
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\propiedades\PecesTipo.html", "HTML", 0, 334, 0, 0, 0, 0, 0, 55, 1, 390
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\propiedades\class-use\AlmacenPropiedades.html", "HTML", 0, 88, 0, 0, 0, 0, 0, 36, 1, 125
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\propiedades\class-use\CriaTipo.html", "HTML", 0, 163, 0, 0, 0, 0, 0, 37, 1, 201
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\propiedades\class-use\PecesDatos.html", "HTML", 0, 248, 0, 0, 0, 0, 0, 37, 1, 286
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\propiedades\class-use\PecesProps.html", "HTML", 0, 163, 0, 0, 0, 0, 0, 37, 1, 201
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\propiedades\class-use\PecesTipo.html", "HTML", 0, 163, 0, 0, 0, 0, 0, 37, 1, 201
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\propiedades\package-frame.html", "HTML", 0, 25, 0, 0, 0, 0, 0, 2, 1, 28
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\propiedades\package-summary.html", "HTML", 0, 143, 0, 0, 0, 0, 0, 36, 1, 180
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\propiedades\package-tree.html", "HTML", 0, 116, 0, 0, 0, 0, 0, 36, 1, 153
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\propiedades\package-use.html", "HTML", 0, 137, 0, 0, 0, 0, 0, 37, 1, 175
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\script.js", "JavaScript", 0, 0, 0, 0, 29, 0, 0, 0, 2, 31
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\Orca\javadoc Orca_lib_1.2.0\stylesheet.css", "CSS", 0, 0, 0, 533, 0, 0, 0, 31, 11, 575
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\README.md", "Markdown", 10, 0, 0, 0, 0, 0, 0, 0, 9, 19
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\almacen\Almacen.class", "Java", 0, 0, 38, 0, 0, 0, 0, 0, 0, 38
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\almacen\AlmacenCentral$AlmacenCentralAdapter.class", "Java", 0, 0, 36, 0, 0, 0, 0, 0, 1, 37
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\almacen\AlmacenCentral.class", "Java", 0, 0, 19, 0, 0, 0, 0, 0, 0, 19
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\commons\ApoyoMenu.class", "Java", 0, 0, 320, 0, 0, 0, 0, 0, 0, 320
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\commons\DataJson$DataJsonAdapter$1.class", "Java", 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\commons\DataJson$DataJsonAdapter$2.class", "Java", 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\commons\DataJson$DataJsonAdapter$3.class", "Java", 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\commons\DataJson$DataJsonAdapter.class", "Java", 0, 0, 52, 0, 0, 0, 0, 0, 1, 53
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\commons\DataJson.class", "Java", 0, 0, 30, 0, 0, 0, 0, 0, 0, 30
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\commons\Monedas.class", "Java", 0, 0, 22, 0, 0, 0, 0, 0, 0, 22
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\commons\Registros.class", "Java", 0, 0, 33, 0, 0, 0, 0, 4, 0, 37
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\commons\Rewards.class", "Java", 0, 0, 122, 0, 0, 0, 0, 0, 0, 122
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\commons\Simulador.class", "Java", 0, 0, 171, 0, 0, 0, 0, 0, 1, 172
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\helper\InputHelper.class", "Java", 0, 0, 36, 0, 0, 0, 0, 0, 0, 36
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\Alimentación\Activo.class", "Java", 0, 0, 16, 0, 0, 0, 0, 0, 0, 16
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\Alimentación\Carnivoro.class", "Java", 0, 0, 27, 0, 0, 0, 0, 0, 0, 27
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\Alimentación\CarnivoroActivo.class", "Java", 0, 0, 19, 0, 0, 0, 0, 0, 0, 19
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\Alimentación\CarnivoroComedido.class", "Java", 0, 0, 19, 0, 0, 0, 0, 0, 0, 19
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\Alimentación\CarnivoroLongevo.class", "Java", 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\Alimentación\CarnivoroLongevoVoraz.class", "Java", 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\Alimentación\CarnivoroVoraz.class", "Java", 0, 0, 20, 0, 0, 0, 0, 0, 0, 20
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\Alimentación\CarnivoroVorazComedido.class", "Java", 0, 0, 19, 0, 0, 0, 0, 0, 0, 19
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\Alimentación\Comedido.class", "Java", 0, 0, 18, 0, 0, 0, 0, 0, 0, 18
"f:\dnavia\AAD\Traballo Piscifactoria\Piscifactoria\bin\pez\Alimentación\Filtrador.class", "Java", 0, 0, 17, 0, 0, 0, 0, 0, 0, 17
